title,artist,isHot,popularity,album_popularity,genres,cluster
Radio Rape,The Cortinas,0,0,4,['deep punk rock'],2
Tell Me Why,George Nooks,0,0,16,"['deep ragga', 'gospel reggae', 'lovers rock', 'old school dancehall', 'roots reggae']",2
Washington Post - 1998 Digital Remaster,John Philip Sousa,0,1,11,"['american romanticism', 'concert band']",2
No Pienses Asi,Eddie Palmieri,0,6,22,"['jazz piano', 'latin jazz', 'salsa']",2
Cavalleria Rusticana,William Orbit,0,21,38,"['classic progressive house', 'downtempo', 'intelligent dance music']",2
Forever,Chris Brown,0,77,73,"['r&b', 'rap']",2
Amor a Medias,Ha*Ash,0,53,63,"['latin arena pop', 'latin pop', 'mexican pop']",2
15 Step,Radiohead,0,64,82,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",2
I Love Your Way,Kashief Lindo,0,1,5,"['deep ragga', 'lovers rock', 'old school dancehall']",2
Raise Your Hands,Bon Jovi,0,49,84,"['glam metal', 'rock']",2
Rainbow Dance,John Tchicai,0,0,0,"['avant-garde jazz', 'free jazz', 'jazz saxophone']",2
Champagne & Reefer,Bongzilla,0,21,32,"['doom metal', 'drone metal', 'sludge metal', 'stoner metal', 'stoner rock']",2
I Need a Veggie,John Holt,0,0,0,"['dub', 'lovers rock', 'reggae', 'rocksteady', 'roots reggae']",2
Get Happy,Danny Wilson,0,1,17,"['new wave pop', 'scottish new wave', 'sophisti-pop']",2
Cry for Love,Capleton,0,2,6,"['dancehall', 'lovers rock', 'reggae', 'roots reggae']",2
Volumatic Spacer Device,The Chap,0,0,2,"['british experimental', 'experimental pop']",2
Putt Jhatt Da Gulabi Phull Varga,Dj Vix,0,1,24,['bhangra'],2
Namibia,Ziggy Marley & The Melody Makers,0,5,19,"['reggae', 'roots reggae']",2
Forever More (Francois K & Eric Kupper Vocal Mix),Moloko,0,29,39,"['electronica', 'trip hop']",2
3,Britney Spears,0,57,55,"['dance pop', 'pop']",2
Meet Me in the City,Junior Kimbrough,0,42,42,"['acoustic blues', 'country blues', 'delta blues', 'traditional blues']",2
"Oh, What A Feeling",The Everly Brothers,0,10,47,"['adult standards', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",2
Heyya Heyya,Ramy Ayach,0,0,25,"['arab pop', 'lebanese pop']",2
Sehnsuchtsexpress,Frl. Menke,0,0,1,['neue deutsche welle'],2
Come Alive,Agnostic Front,0,8,34,"['chicano punk', 'crossover thrash', 'hardcore', 'hardcore punk', 'nyhc', 'old school thrash', 'punk']",2
Spitting Games,Snow Patrol,0,50,62,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",2
Birch,Maximilian Hecker,0,0,5,['melancholia'],2
Same Old Thing,Albert Collins,0,3,29,"['acoustic blues', 'blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues', 'traditional blues']",2
Voodoo Doll,Fergie,0,17,48,"['dance pop', 'pop']",2
Nerio Compra Una Contestadora,Los Amigos Invisibles,0,0,44,"['latin afrobeat', 'latin alternative', 'latin funk', 'latin rock', 'rock en espanol', 'venezuelan indie', 'venezuelan rock']",2
Killer - Single Version,Seal,0,21,18,"['british soul', 'new wave pop']",2
From My Hands,Salt The Wound,0,9,12,['deathcore'],2
Frei zu sein,In Extremo,0,47,46,"['folk metal', 'german metal', 'hurdy-gurdy', 'medieval rock', 'neue deutsche harte']",2
Grown & Sexy,DJ Omega,0,16,13,['ghettotech'],2
Pussy Hole,DJ Nasty,0,1,1,['ghettotech'],2
