title,artist,isHot,popularity,album_popularity,genres
"I Constantly Thank God for Esteban - Live at Congress Theater, Chicago, IL, 2008",Panic! At The Disco,False,24,45,['pop']
000grandpno,Pumpkin Buzzard,False,0,0,[]
Pai Keros,Christos Dantis,False,4,17,"['classic greek pop', 'greek pop', 'laiko']"
Tuesday Afternoon (Forever Afternoon),The Moody Blues,False,47,54,"['album rock', 'art rock', 'british invasion', 'classic rock', 'country rock', 'flute rock', 'folk rock', 'mellow gold', 'progressive rock', 'rock', 'singer-songwriter', 'soft rock', 'symphonic rock']"
As We Lay,Fiona,False,0,13,[]
The Anthem - Kemal Remix,Hatiras,False,0,0,"[""jackin' house""]"
Disco Trafiko,Trafik,False,0,4,[]
Rant Kanaria,Jope Ruonansuu,False,0,5,"['classic finnish pop', 'classic iskelma', 'iskelma', 'musiikkia lapista', 'suomi rock']"
Clavelitos,Joselito,False,29,27,['copla']
Tomorrow's Girls - Live,U.K. Subs,False,0,1,"['hardcore punk', 'oi', 'punk', 'uk82']"
O Dikos Sou DJ,Imiskoubria,False,6,34,['greek hip hop']
Little Brother,Grizzly Bear,False,23,41,"['art pop', 'baroque pop', 'brooklyn indie', 'indie rock', 'neo-synthpop', 'new weird america']"
Polly,Nirvana,False,28,55,"['grunge', 'permanent wave', 'rock']"
Be Aware,SOJA,False,22,48,"['east coast reggae', 'reggae']"
The Chance,Julie Roberts,False,15,45,['country dawn']
Abbeville Fair,Seatrain,False,1,13,['flute rock']
My Life Is Totally Boring Without You,Cracker,False,3,20,"['alternative rock', 'permanent wave', 'pop rock', 'post-grunge']"
Calliope,Al Di Meola,False,3,13,"['flamenco guitar', 'jazz fusion', 'jazz guitar']"
Fire in the Hole,The Elders,False,8,10,['celtic rock']
So Different Blues,Mance Lipscomb,False,7,21,"['country blues', 'texas blues', 'traditional blues']"
Cuantas madres llorando,Los Chunguitos,False,0,12,"['carnaval cadiz', 'pop flamenco', 'rumba', 'spanish pop']"
Opening,Harald Kloser,False,9,42,['soundtrack']
Lived My Life,Singing Melody,False,2,32,"['deep ragga', 'lovers rock', 'old school dancehall', 'roots reggae']"
Do You See the Light? (Looking For) (feat. Niki Haris) (Deep Ethno Mix),SNAP!,False,4,23,"['diva house', 'eurodance', 'german techno', 'hip house']"
3500 (feat. Future & 2 Chainz),Travis Scott,False,67,84,"['rap', 'slap house']"
Save My Soul - Cypher UK Radio Edit,Kristine W,False,0,16,['diva house']
Song Without End,Paul Avgerinos,False,0,8,[]
Background Music: The Greatest Ever Punk Sing-Along! - Live,The Prefects,False,0,0,['uk post-punk']
6th Avenue Nightmare,Pennywise,False,14,35,"['punk', 'skate punk', 'socal pop punk']"
Cuatro Estrofas,Sandra Mihanovich,False,19,35,"['cantautora argentina', 'rock nacional']"
Climax - Instrumental Mix,Slum Village,False,28,51,"['alternative hip hop', 'detroit hip hop', 'hardcore hip hop', 'hip hop']"
Give It Up or Let Me Go,The Chicks,False,31,65,"['contemporary country', 'country', 'country dawn']"
Joy to the World,Boots Randolph,False,0,10,['nashville sound']
Althea Cooley,Mack and Jamie,False,0,0,[]
Yearning Just For You,Bob Wills,False,15,39,"['cowboy western', 'traditional country', 'western swing']"
Sincerely,Don & Juan,False,1,30,"['doo-wop', 'rhythm and blues']"
Road To Bali: The Merry-Go-Runaround,Bob Hope,False,1,16,['vintage hollywood']
Question Authority,Circle Jerks,False,31,46,"['hardcore punk', 'punk']"
Loup Garou,Willy DeVille,False,9,30,['native american traditional']
Oh No,Daniel Johnston,False,5,20,"['alternative rock', 'anti-folk', 'chamber pop', 'countrygaze', 'lo-fi', 'melancholia', 'noise pop', 'outsider']"
So Many Reasons,Jake Hess,False,0,0,['southern gospel']
Dragonfly,Diesel Boy,False,4,27,"['melodic hardcore', 'ska punk', 'skate punk']"
Fading Lady Light,Jefferson Starship,False,16,54,"['album rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
The Croppy Boy,The Irish Tenors,False,0,5,['irish ballad']
Many Are We,Keep Of Kalessin,False,7,20,"['black metal', 'norwegian black metal', 'norwegian metal', 'symphonic black metal', 'technical black metal', 'viking metal']"
Play The Part,Eyes Set To Kill,False,19,37,"['metalcore', 'pixie', 'screamo']"
Caseta del Plater,Pep Laguarda & Tapineria,False,5,6,[]
2 People - Favretto Remix Instrumental,Ann Lee,False,0,2,"['eurodance', 'hip house', 'italo dance']"
"Tem Dó De Mim - Live At El Matador, San Francisco, CA / 1965",Sérgio Mendes,False,6,14,"['bossa nova', 'brazilian jazz', 'samba']"
Salvation,Chroma Key,False,6,24,['progressive metal']
Shame,ABREU,False,6,29,"['finnish dance pop', 'finnish hip hop', 'finnish pop']"
"Arise, My Love (Song Of Solomon)",Michael Card,False,17,22,[]
Two Guitars Shuffle - Take 2,Lonnie Brooks,False,29,29,"['chicago blues', 'louisiana blues']"
What If I Forget the Champagne,Stanley Clarke,False,2,23,"['electric bass', 'jazz funk', 'jazz fusion']"
Listen,Mykill Miers,False,0,0,[]
Elementro - Original Mix,Ten Madison,False,0,4,"['future ambient', 'psychill']"
Kangaroo Blues,Moon Mullican,False,0,0,"['country boogie', 'western swing']"
Strangers In The House - From “Casper” Soundtrack,James Horner,False,18,39,"['orchestral soundtrack', 'soundtrack']"
A.C.A.B. - Bumper Sessions,4 Skins,False,22,33,['oi']
NOT IN LOVE,The Scare,False,0,1,[]
Are You There (With Another Girl),Burt Bacharach,False,18,47,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
Introduction,The Chi-Lites,False,0,4,"['chicago soul', 'classic soul', 'disco', 'funk', 'quiet storm', 'soul', 'southern soul']"
No Good In Goodbye - With Jewel,Jason Michael Carroll,False,13,44,"['country', 'country road']"
Copacabana,Sivuca,False,0,0,"['bossa nova', 'jazz accordion', 'mpb', 'samba', 'samba-jazz', 'velha guarda']"
I Wanna Be Where You Are,Michael Jackson,False,39,52,"['r&b', 'soul']"
Tenderly,Eddie Calvert,False,0,0,"['easy listening', 'jazz trumpet']"
